Date,Name,Nationality,Cause of death,"Lat, Lon",Rank
5/8/1997,Peter Kowalzik,Germany,Disappearance,"27.9882° N, 86.9254° E",1
5/7/1997,Mingma,Nepal,Fall,"27.9882° N, 86.9254° E",1
5/7/1997,Nikolai Shevtchenko,Russia,Exhaustion,"27.9882° N, 86.9254° E",1
5/7/1997,Ivan Plotnikov,Russia,Exhaustion,"27.9882° N, 86.9254° E",1
5/7/1997,Aleksandr Torochin,Russia,Fall,"27.9882° N, 86.9254° E",1
5/6/1997,Nima Rinzi,United Kingdom,Fall,"27.9882° N, 86.9254° E",1
4/23/1997,Malcolm Duff,United Kingdom,Heart Attack,"27.9882° N, 86.9254° E",1
9/25/1996,Dawa,Nepal,Avalanche,"27.9882° N, 86.9254° E",1
9/25/1996,Lopsang Jangbu,Nepal,Avalanche,"27.9882° N, 86.9254° E",1
9/25/1996,Yves Bouchon,France,Avalanche,"27.9882° N, 86.9254° E",1
6/6/1996,Ngawang Topche,Nepal,Coma,"27.9882° N, 86.9254° E",1
5/25/1996,Bruce Herrod,United Kingdom,Rope accident,"27.9882° N, 86.9254° E",1
5/19/1996,Reinhard Wlasich,Austria,Altitude sickness,"27.9882° N, 86.9254° E",1
5/11/1996,Tsewang Samanla,India,Exposure,"27.9882° N, 86.9254° E",1
5/11/1996,Tsewang Paljor,India,Exposure,"27.9882° N, 86.9254° E",1
5/11/1996,Dorje Morup,India,Exposure,"27.9882° N, 86.9254° E",1
5/11/1996,Yasuko Namba,Japan,Exposure,"27.9882° N, 86.9254° E",1
5/11/1996,Andrew Harris,New Zealand,Disappearance,"27.9882° N, 86.9254° E",1
5/11/1996,Doug Hansen,United States,Exposure,"27.9882° N, 86.9254° E",1
5/11/1996,Rob Hall,New Zealand,Exposure,"27.9882° N, 86.9254° E",1
5/11/1996,Scott Fischer,United States,HACE,"27.9882° N, 86.9254° E",1
5/9/1996,Chen Yu-Nan,Taiwan,Injuries from a fall,"27.9882° N, 86.9254° E",1
10/14/1995,Zangbu,Nepal,Fall,"27.9882° N, 86.9254° E",1
9/10/1995,Lhakpa Nuru,Nepal,Disappeared,"27.9882° N, 86.9254° E",1
5/6/1995,Kami Rita,Nepal,Fall,"27.9882° N, 86.9254° E",1
9/12/1994,Mingma Norbu,Nepal,Avalanche,"27.9882° N, 86.9254° E",1
